_id,Product Collection,Code Name,Vertical Segment,Processor Number,Status,Launch Date,Lithography,Included Items,# of Cores,# of Threads,Processor Base Frequency,Max Turbo Frequency,Cache,Intel® Turbo Boost Max Technology 3_0 Frequency ‡,TDP,Embedded Options Available,Datasheet,Max Memory Size (dependent on memory type),Memory Types,Max # of Memory Channels,ECC Memory Supported   ‡,Scalability,PCI Express Revision,Max # of PCI Express Lanes,Sockets Supported,Max CPU Configuration,Thermal Solution Specification,TJUNCTION,Intel® Deep Learning Boost (Intel® DL Boost),Intel® Optane™ Memory Supported ‡,Intel® Turbo Boost Max Technology 3_0 ‡,Intel® Turbo Boost Technology ‡,Intel® Hyper-Threading Technology ‡,Intel® Virtualization Technology (VT-x) ‡,Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Intel® 64 ‡,Instruction Set Extensions,# of AVX-512 FMA Units,Enhanced Intel SpeedStep® Technology,Intel® AES New Instructions,Execute Disable Bit ‡,Bus Speed,# of QPI Links,Product Brief,Instruction Set,PCI Express Configurations ‡,Intel® vPro™ Platform Eligibility ‡,Intel® VT-x with Extended Page Tables (EPT) ‡,Idle States,Intel® Smart Response Technology,Intel® Trusted Execution Technology ‡,Max Memory Bandwidth,TCASE,Package Size,Intel® Demand Based Switching,Thermal Monitoring Technologies,Intel® Identity Protection Technology ‡,Processor Graphics ‡,Graphics Base Frequency,Graphics Max Dynamic Frequency,Graphics Video Max Memory,Graphics Output,Intel® Quick Sync Video,Intel® InTru™ 3D Technology,Intel® Flexible Display Interface (Intel® FDI),Intel® Clear Video HD Technology,# of Displays Supported ‡,Intel® TSX-NI,Secure Key,Anti-Theft Technology,Low Halogen Options Available,VID Voltage Range,Description,Intel® My WiFi Technology,4G WiMAX Wireless Technology,Intel® Fast Memory Access,Intel® Flex Memory Access,Configurable TDP-up Frequency,Configurable TDP-up,Configurable TDP-down Frequency,Configurable TDP-down,4K Support,Max Resolution (HDMI 1_4)‡,Max Resolution (DP)‡,Max Resolution (eDP - Integrated Flat Panel)‡,DirectX* Support,OpenGL* Support,Device ID,Intel® Speed Shift Technology,Intel® Thermal Velocity Boost,Intel® Stable Image Platform Program (SIPP),Intel® Software Guard Extensions (Intel® SGX),Intel® OS Guard,Intel® Boot Guard,Execution Units,Intel® Clear Video Technology,Intel® Memory Protection Extensions (Intel® MPX),Max Resolution (VGA)‡,Use Conditions,eDRAM,Graphics Name‡,Compute Units,Graphics Memory Bandwidth,Graphics Memory Interface,Max Resolution (HDMI)‡,Vulkan*  Support,H_264 Hardware Encode/Decode,H_265 (HEVC) Hardware Encode/Decode,# of Displays Supported‡,Graphics Burst Frequency,Secure Boot,Intel® Virtualization Technology for Itanium (VT-i),Scenario Design Power (SDP),Additional Information URL,Expected Discontinuance,PCI Support,# of USB Ports,USB Revision,Total # of SATA Ports,Integrated LAN,Integrated IDE,General Purpose IO,UART,Max # of SATA 6_0 Gb/s Ports,Intel® ME Firmware Version,Intel® HD Audio Technology,Intel® Rapid Storage Technology,Intel® Smart Connect Technology,Intel® Matrix Storage Technology,Macrovision* License Required,Physical Address Extensions,Processing Die Size,# of Processing Die Transistors,FSB Parity
5dacb85f478bae28f9227969,Intel® Core™ X-series Processors,Products formerly Cascade Lake,Desktop,i9-10980XE,Launched,Q4'19,14 nm,Please note: The boxed product does not include a fan or heat sink,18,36,3.00 GHz,4.60 GHz,24.75 MB Intel® Smart Cache,4.80 GHz,165 W,No,View now,256 GB,DDR4-2933,4,No,1S Only,3.0,48,FCLGA2066,1,PCG 2017X,86°C,Yes,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb861478bae28f922796a,Intel® Core™ X-series Processors,Products formerly Cascade Lake,Desktop,i9-10940X,Launched,Q4'19,14 nm,Please note: The boxed product does not include a fan or heat sink,14,28,3.30 GHz,4.60 GHz,19.25 MB Intel® Smart Cache,4.80 GHz,165 W,No,View now,256 GB,DDR4-2933,4,No,1S Only,3.0,48,FCLGA2066,1,PCG 2017X,86°C,Yes,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb863478bae28f922796b,Intel® Core™ X-series Processors,Products formerly Cascade Lake,Desktop,i9-10920X,Launched,Q4'19,14 nm,Please note: The boxed product does not include a fan or heat sink,12,24,3.50 GHz,4.60 GHz,19.25 MB Intel® Smart Cache,4.80 GHz,165 W,No,View now,256 GB,DDR4-2933,4,No,1S Only,3.0,48,FCLGA2066,1,PCG 2017X,94°C,Yes,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb864478bae28f922796c,Intel® Core™ X-series Processors,Products formerly Cascade Lake,Desktop,i9-10900X,Launched,Q4'19,14 nm,Please note: The boxed product does not include a fan or heat sink,10,20,3.70 GHz,4.50 GHz,19.25 MB Intel® Smart Cache,4.70 GHz,165 W,No,View now,256 GB,DDR4-2933,4,No,1S Only,3.0,48,FCLGA2066,1,PCG 2017X,94°C,Yes,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb866478bae28f922796d,Intel® Core™ X-series Processors,Products formerly Skylake,Desktop,i9-9980XE,Launched,Q4'18,14 nm,Please note: The boxed product does not include a fan or heat sink,18,36,3.00 GHz,4.40 GHz,24.75 MB Intel® Smart Cache,4.50 GHz,165 W,No,View now,128 GB,DDR4-2666,4,No,1S Only,3.0,44,FCLGA2066,1,PCG 2017X,84°C,,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,8 GT/s,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb869478bae28f922796e,Intel® Core™ X-series Processors,Products formerly Skylake,Desktop,i9-9960X,Launched,Q4'18,14 nm,Please note: The boxed product does not include a fan or heat sink,16,32,3.10 GHz,4.40 GHz,22 MB SmartCache,4.50 GHz,165 W,No,View now,128 GB,DDR4-2666,4,No,1S Only,3.0,44,FCLGA2066,1,PCG 2017X,85°C,,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,8 GT/s DMI3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb86b478bae28f922796f,Intel® Core™ X-series Processors,Products formerly Skylake,Desktop,i9-9940X,Launched,Q4'18,14 nm,Please note: The boxed product does not include a fan or heat sink,14,28,3.30 GHz,4.40 GHz,19.25 MB SmartCache,4.50 GHz,165 W,No,View now,128 GB,DDR4-2666,4,No,1S Only,3.0,44,FCLGA2066,1,PCG 2017X,88°C,,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,8 GT/s DMI3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb86c478bae28f9227970,Intel® Core™ X-series Processors,Products formerly Skylake,Desktop,i9-9920X,Launched,Q4'18,14 nm,Please note: The boxed product does not include a fan or heat sink,12,24,3.50 GHz,4.40 GHz,19.25 MB SmartCache,4.50 GHz,165 W,No,View now,128 GB,DDR4-2666,4,No,1S Only,3.0,44,FCLGA2066,1,PCG 2017X,92°C,,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,8 GT/s DMI3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb86e478bae28f9227971,Intel® Core™ X-series Processors,Products formerly Skylake,Desktop,i9-9900X,Launched,Q4'18,14 nm,Please note: The boxed product does not include a fan or heat sink,10,20,3.50 GHz,4.40 GHz,19.25 MB SmartCache,4.50 GHz,165 W,No,View now,128 GB,DDR4-2666,4,No,1S Only,3.0,44,FCLGA2066,1,PCG 2017X,92°C,,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,8 GT/s DMI3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb870478bae28f9227972,Intel® Core™ X-series Processors,Products formerly Skylake,Desktop,i9-9820X,Launched,Q4'18,14 nm,Please note: The boxed product does not include a fan or heat sink,10,20,3.30 GHz,4.10 GHz,16.5 MB SmartCache,4.20 GHz,165 W,No,View now,128 GB,DDR4-2666,4,No,1S Only,3.0,44,FCLGA2066,1,PCG 2017X,92°C,,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,8 GT/s DMI3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb872478bae28f9227973,Intel® Core™ X-series Processors,Products formerly Skylake,Desktop,i7-9800X,Launched,Q4'18,14 nm,Please note: The boxed product does not include a fan or heat sink,8,16,3.80 GHz,4.40 GHz,16.5 MB SmartCache,4.50 GHz,165 W,No,View now,128 GB,DDR4-2666,4,No,1S Only,3.0,44,FCLGA2066,1,PCG 2017X,95°C,,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,8 GT/s DMI3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb874478bae28f9227974,Intel® Core™ X-series Processors,Products formerly Skylake,Desktop,i9-7980XE,Launched,Q3'17,,Please note: The boxed product does not include a fan or heat sink,18,36,2.60 GHz,4.20 GHz,24.75 MB,4.40 GHz,165 W,No,View now,128 GB,DDR4-2666,4,No,1S Only,3.0,44,FCLGA2066,1,PCG 2017X,94°C,,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,8 GT/s,0,View now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb876478bae28f9227975,Intel® Core™ X-series Processors,Products formerly Skylake,Desktop,i9-7960X,Launched,Q3'17,,Please note: The boxed product does not include a fan or heat sink,16,32,2.80 GHz,4.20 GHz,22 MB,4.40 GHz,165 W,No,View now,128 GB,DDR4-2666,4,No,1S Only,3.0,44,FCLGA2066,1,PCG 2017X,98°C,,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,8 GT/s,0,View now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb877478bae28f9227976,Intel® Core™ X-series Processors,Products formerly Skylake,Desktop,i9-7940X,Launched,Q3'17,,Please note: The boxed product does not include a fan or heat sink,14,28,3.10 GHz,4.30 GHz,19.25 MB,4.40 GHz,165 W,No,View now,128 GB,DDR4-2666,4,No,1S Only,3.0,44,FCLGA2066,1,PCG 2017X,102°C,,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,8 GT/s,0,View now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb879478bae28f9227977,Intel® Core™ X-series Processors,Products formerly Skylake,Desktop,i9-7920X,Launched,Q3'17,14 nm,Please note: The boxed product does not include a fan or heat sink,12,24,2.90 GHz,4.30 GHz,16.5 MB L3 Cache,4.40 GHz,140 W,No,View now,128 GB,DDR4-2666,4,No,1S Only,3.0,44,FCLGA2066,1,PCG 2017X,95°C,,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,8 GT/s,0,View now,64-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb87b478bae28f9227978,Intel® Core™ X-series Processors,Products formerly Skylake,Desktop,i9-7900X,Launched,Q2'17,14 nm,Please note: The boxed product does not include a fan or heat sink,10,20,3.30 GHz,4.30 GHz,13.75 MB L3 Cache,4.50 GHz,140 W,No,View now,128 GB,DDR4-2666,4,No,1S Only,3.0,44,FCLGA2066,1,PCG 2017X,95°C,,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,8 GT/s,0,View now,64-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb87d478bae28f9227979,Intel® Core™ X-series Processors,Products formerly Skylake,Desktop,i7-7820X,Launched,Q2'17,14 nm,Please note: The boxed product does not include a fan or heat sink,8,16,3.60 GHz,4.30 GHz,11 MB L3 Cache,4.50 GHz,140 W,No,View now,128 GB,DDR4-2666,4,No,1S Only,3.0,28,FCLGA2066,1,PCG 2017X,99°C,,Yes,Yes,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,8 GT/s,0,View now,64-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb87f478bae28f922797a,Intel® Core™ X-series Processors,Products formerly Skylake,Desktop,i7-7800X,Launched,Q2'17,14 nm,Please note: The boxed product does not include a fan or heat sink,6,12,3.50 GHz,4.00 GHz,8.25 MB L3 Cache,,140 W,No,View now,128 GB,DDR4-2400,4,No,1S Only,3.0,28,FCLGA2066,1,PCG 2017X,100°C,,Yes,,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",2,Yes,Yes,Yes,8 GT/s,0,View now,64-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb881478bae28f922797b,Intel® Core™ X-series Processors,Products formerly Kaby Lake,Desktop,i7-7740X,Discontinued,Q2'17,14 nm,Please note: The boxed product does not include a fan or heat sink,4,8,4.30 GHz,4.50 GHz,8 MB,,112 W,No,View now,64 GB,DDR4-2666,2,No,1S Only,3.0,16,FCLGA2066,1,PCG 2017X,100°C,,Yes,,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",,,Yes,,8 GT/s,0,View now,64-bit,"Up to 1x16, 2x8, 1x8+2x4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb883478bae28f922797c,Intel® Core™ X-series Processors,Products formerly Kaby Lake,Desktop,i5-7640X,Discontinued,Q2'17,14 nm,Please note: The boxed product does not include a fan or heat sink,4,4,4.00 GHz,4.20 GHz,6 MB,,112 W,No,View now,64 GB,DDR4-2666,2,No,1S Only,3.0,16,FCLGA2066,1,PCG 2017X,100°C,,Yes,,2.0,,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",,,Yes,,8 GT/s,0,View now,64-bit,"Up to 1x16, 2x8, 1x8+2x4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb885478bae28f922797d,Intel® Core™ X-series Processors,Products formerly Broadwell E,Desktop,i7-6950X,Discontinued,Q2'16,14 nm,Please note: The boxed product does not include a fan or heat sink,10,20,3.00 GHz,3.50 GHz,25 MB,4.00 GHz,140 W,No,View now,128 GB,DDR4 2400/2133,4,No,1S Only,3.0,40,FCLGA2011-3,1,,,,,Yes,2.0,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,,View now,64-bit,,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb887478bae28f922797e,Intel® Core™ X-series Processors,Products formerly Broadwell E,Desktop,i7-6900K,Discontinued,Q2'16,14 nm,Please note: The boxed product does not include a fan or heat sink,8,16,3.20 GHz,3.70 GHz,20 MB,4.00 GHz,140 W,No,View now,128 GB,DDR4 2400/2133,4,No,1S Only,3.0,40,FCLGA2011-3,1,,,,,Yes,2.0,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,,View now,64-bit,,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb888478bae28f922797f,Intel® Core™ X-series Processors,Products formerly Broadwell E,Desktop,i7-6850K,Discontinued,Q2'16,14 nm,Please note: The boxed product does not include a fan or heat sink,6,12,3.60 GHz,3.80 GHz,15 MB,4.00 GHz,140 W,No,View now,128 GB,DDR4 2400/2133,4,No,1S Only,3.0,40,FCLGA2011-3,1,,,,,Yes,2.0,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,,View now,64-bit,,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb88a478bae28f9227980,Intel® Core™ X-series Processors,Products formerly Broadwell E,Desktop,i7-6800K,Discontinued,Q2'16,14 nm,Please note: The boxed product does not include a fan or heat sink,6,12,3.40 GHz,3.60 GHz,15 MB Intel® Smart Cache,3.80 GHz,140 W,No,View now,128 GB,DDR4 2400/2133,4,No,1S Only,3.0,28,FCLGA2011-3,1,,,,,Yes,2.0,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,,View now,64-bit,,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb88c478bae28f9227981,Intel® Core™ X-series Processors,Products formerly Haswell E,Desktop,i7-5960X,Discontinued,Q3'14,22 nm,Please note: The boxed product does not include a fan or heat sink,8,16,3.00 GHz,3.50 GHz,20 MB SmartCache,,140 W,No,View now,64 GB,DDR4 1600/1866/2133,4,No,1S Only,3.0,40,FCLGA2011-3,1,,,,,,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.2, Intel® AVX2",,Yes,Yes,Yes,0 GT/s,,,64-bit,,No,Yes,Yes,Yes,No,68 GB/s,66.8,52.5mm x 45.0mm,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb88e478bae28f9227982,Intel® Core™ X-series Processors,Products formerly Haswell E,Desktop,i7-5930K,Discontinued,Q3'14,22 nm,Please note: The boxed product does not include a fan or heat sink,6,12,3.50 GHz,3.70 GHz,15 MB SmartCache,,140 W,No,View now,64 GB,DDR4 1600/1866/2133,4,No,1S Only,3.0,40,FCLGA2011-3,1,,,,,,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.2, Intel® AVX2",,Yes,Yes,Yes,0 GT/s,,,64-bit,,No,Yes,Yes,Yes,No,68 GB/s,66.8,52.5mm x 45.0mm,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb890478bae28f9227983,Intel® Core™ X-series Processors,Products formerly Haswell E,Desktop,i7-5820K,Discontinued,Q3'14,22 nm,Please note: The boxed product does not include a fan or heat sink,6,12,3.30 GHz,3.60 GHz,15 MB SmartCache,,140 W,No,View now,64 GB,DDR4 1600/1866/2133,4,No,1S Only,3.0,28,FCLGA2011-3,1,,,,,,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.2, Intel® AVX2",,Yes,Yes,Yes,0 GT/s,,,64-bit,,No,Yes,Yes,Yes,No,68 GB/s,66.8,52.5mm x 45.0mm,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb892478bae28f9227984,Intel® Core™ X-series Processors,Products formerly Ivy Bridge E,Desktop,i7-4960X,Discontinued,Q3'13,22 nm,Please note: The boxed product does not include a fan or heat sink,6,12,3.60 GHz,4.00 GHz,15 MB SmartCache,,130 W,No,View now,64 GB,DDR3 1333/1600/1866,4,No,,3.0,40,FCLGA2011,1,,,,,,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.2, Intel® AVX",,Yes,Yes,Yes,5 GT/s DMI2,,,64-bit,,No,Yes,Yes,Yes,No,59.7 GB/s,66.8°C,52.5mm x 45.0mm,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb894478bae28f9227985,Intel® Core™ X-series Processors,Products formerly Haswell,Mobile,i7-4940MX,Launched,Q1'14,22 nm,,4,8,3.10 GHz,4.00 GHz,8 MB SmartCache,,57 W,No,View now,32 GB,DDR3L 1333/1600,2,No,,3,16,,1,,100°C,,,,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",,Yes,Yes,Yes,5 GT/s DMI2,,,64-bit,"1x16, 2x8, 1x8 2x4",Yes,Yes,Yes,,Yes,25.6 GB/s,,37.5mm x 37.5mm x 4.7mm,,Yes,Yes,Intel® HD Graphics 4600,400 MHz,1.35 GHz,1.7 GB,eDP/DP/HDMI/VGA,Yes,Yes,Yes,Yes,3,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb896478bae28f9227986,Intel® Core™ X-series Processors,Products formerly Ivy Bridge E,Desktop,i7-4930K,Discontinued,Q3'13,22 nm,Please note: The boxed product does not include a fan or heat sink,6,12,3.40 GHz,3.90 GHz,12 MB SmartCache,,130 W,No,View now,64 GB,DDR3 1333/1600/1866,4,No,1S Only,3.0,40,FCLGA2011,1,,,,,,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.2, Intel® AVX",,Yes,Yes,Yes,5 GT/s DMI2,0,,64-bit,,No,Yes,Yes,Yes,No,59.7 GB/s,66.8,52.5mm x 45.0mm,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb898478bae28f9227987,Intel® Core™ X-series Processors,Products formerly Haswell,Mobile,i7-4930MX,Launched,Q2'13,22 nm,,4,8,3.00 GHz,3.90 GHz,8 MB SmartCache,,57 W,No,View now,32 GB,DDR3L 1333/1600,2,No,,3,16,FCPGA946,1,,100°C,,,,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",,Yes,Yes,Yes,5 GT/s DMI2,,,64-bit,"1x16, 2x8, 1x8 2x4",Yes,Yes,Yes,,Yes,25.6 GB/s,,37.5mm x 37.5mm x 4.7mm,,Yes,Yes,Intel® HD Graphics 4600,400 MHz,1.35 GHz,1.7 GB,eDP/DP/HDMI/VGA,Yes,Yes,Yes,Yes,3,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb89a478bae28f9227988,Intel® Core™ X-series Processors,Products formerly Ivy Bridge E,Desktop,i7-4820K,Discontinued,Q3'13,22 nm,Please note: The boxed product does not include a fan or heat sink,4,8,3.70 GHz,3.90 GHz,10 MB SmartCache,,130 W,No,View now,64 GB,DDR3 1333/1600/1866,4,No,,3.0,40,FCLGA2011,1,,,,,,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.2, Intel® AVX",,Yes,Yes,Yes,5 GT/s DMI2,,,64-bit,,No,Yes,Yes,Yes,No,59.7 GB/s,66.8°C,52.5mm x 45.0mm,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dacb89c478bae28f9227989,Intel® Core™ X-series Processors,Products formerly Sandy Bridge E,Desktop,i7-3970X,Discontinued,Q4'12,32 nm,Please note: The boxed product does not include a fan or heat sink,6,12,3.50 GHz,4.00 GHz,15 MB SmartCache,,150 W,No,View now,64.45 GB,DDR3 1066/1333/1600,4,No,,2.0,40,FCLGA2011,1,,,,,,2.0,Yes,Yes,Yes,Yes,"Intel® SSE4.2, Intel® AVX",,Yes,Yes,Yes,5 GT/s DMI2,,,64-bit,,No,Yes,Yes,Yes,No,51.2 GB/s,66.8°C,52.5mm x 45.0mm,No,Yes,Yes,,,,,,,,,,,,,,,0.6V-1.35V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
